category,prompt,function,x,y
"magnitude variation","subtract 500 from 50",subtract,50,500
"magnitude variation","subtract 9000 from 900",subtract,900,9000
"magnitude variation","subtract 3 from 30",subtract,30,3
"magnitude variation","subtract 7 from 70",subtract,70,7
"magnitude variation","subtract 40 from 400",subtract,400,40
"magnitude variation","subtract 600 from 6000",subtract,6000,600
"magnitude variation","divide 5 by 50",divide,5,50
"magnitude variation","divide 8 by 80",divide,8,80
"magnitude variation","divide 30 by 300",divide,30,300
"magnitude variation","divide 90 by 900",divide,90,900
"magnitude variation","divide 400 by 4",divide,400,4
"magnitude variation","divide 700 by 7",divide,700,7
"magnitude variation","divide 6000 by 60",divide,6000,60
"magnitude variation","divide 50 by 5000",divide,50,5000
